Candidate_ID,Target_Gene,Num_Sense_Mods,Num_Antisense_Mods,IEEE_V5_Naked_pIC50,IEEE_V5_Mod_pIC50,IEEE_V5_Naked_KD_pct,IEEE_V5_Mod_KD_pct,IEEE_V5_Delta_KD_pct,Ensemble_V4_Naked_KD_pct,Ensemble_V4_Mod_KD_pct,Ensemble_V4_Delta_KD_pct,InterModel_Mod_KD_Delta,Experimental_IC50_nM,Experimental_Tm_C
siSER-1,SERPINA6,0,0,8.6308,8.6308,40.45,40.45,0.0,45.31,45.31,0.0,-4.86,4.4,75.5
siSER-1m,SERPINA6,19,19,8.6308,8.3613,40.45,51.83,11.38,45.31,42.91,-2.4,8.92,,86.7
siSER-2,SERPINA6,0,0,8.5728,8.5728,50.16,50.16,0.0,51.35,51.35,0.0,-1.19,0.11,68.5
siSER-2m,SERPINA6,19,19,8.5728,8.2545,50.16,56.99,6.83,51.35,47.15,-4.2,9.84,27.2,78.5
siSER-3,SERPINA6,0,0,8.6857,8.6857,40.84,40.84,0.0,49.61,49.61,0.0,-8.77,0.33,74.0
siSER-3m,SERPINA6,19,19,8.6857,8.3391,40.84,52.03,11.19,49.61,44.58,-5.03,7.45,,86.1
siSER-4,SERPINA6,0,0,9.0502,8.9303,62.02,55.6,-6.42,54.62,53.4,-1.22,2.2,0.032,59.5
siSER-4m,SERPINA6,19,19,9.0502,8.3186,62.02,57.29,-4.73,54.62,58.01,3.39,-0.72,0.027,69.7
siSER-10,SERPINA6,19,19,8.9709,8.4097,67.45,60.26,-7.19,55.14,58.38,3.24,1.88,0.001,61.3
siSER-10m,SERPINA6,19,19,8.9709,8.4097,67.45,60.26,-7.19,55.14,58.38,3.24,1.88,0.004,71.3
siAGT-1,AGT,0,0,8.2351,8.2351,29.55,29.55,0.0,32.27,32.27,0.0,-2.72,0.04,72.9
siAGT-1m,AGT,19,19,8.2351,8.3302,29.55,48.72,19.17,32.27,35.92,3.65,12.8,,84.5
siAGT-2,AGT,0,0,8.7831,8.7831,48.57,48.57,0.0,59.58,59.58,0.0,-11.01,0.13,64.0
siAGT-2m,AGT,19,19,8.7831,8.7077,48.57,68.47,19.9,59.58,53.6,-5.98,14.87,4.9,74.1
siAGT-3,AGT,18,19,9.5917,8.7194,84.4,69.72,-14.68,69.85,60.14,-9.71,9.58,0.0004,39.0
siAGT-3m,AGT,19,19,9.5917,8.9021,84.4,71.18,-13.22,69.85,73.66,3.81,-2.48,0.022,47.2
siAGT-4,AGT,0,0,8.6582,8.6582,47.08,47.08,0.0,53.84,53.84,0.0,-6.76,0.01,73.5
siAGT-4m,AGT,19,19,8.6582,8.6391,47.08,61.8,14.72,53.84,45.55,-8.29,16.25,0.21,83.8
