duplex,pct_remaining_0.1nM,sd_0.1nM,pct_remaining_10nM,sd_10nM
AD-18323,6.7,1.90,1.7,0.02
AD-18324,1.8,0.58,0.9,0.10
AD-23000,5.5,0.93,2.1,0.87
AD-23001,15.2,4.89,4.9,1.74
AD-23002,3.1,1.12,1.4,0.55
AD-23003,17.3,3.13,1.7,0.06
AD-18325,1.5,0.27,1.4,0.66
AD-23004,9.0,0.15,10.5,0.96
AD-18326,22.0,1.85,7.6,0.78
AD-18327,11.6,2.64,9.6,1.67
AD-18328,1.1,0.70,0.6,0.16
AD-23005,0.8,0.31,0.6,0.21
AD-23006,1.5,0.46,1.2,0.43
AD-23007,2.4,0.91,1.9,0.46
AD-23008,0.6,0.10,0.8,0.26
AD-23009,1.0,0.13,0.9,0.22
AD-23010,60.1,15.66,66.2,22.71
AD-23011,56.5,16.99,53.6,4.70
AD-23012,7.7,2.36,7.7,3.25
AD-23013,7.0,0.64,8.0,1.06
AD-23014,0.7,0.01,0.6,0.10
AD-23015,15.4,0.25,16.5,7.07
AD-23016,27.1,0.37,6.7,1.80
AD-23017,4.5,1.26,1.4,0.40
AD-23018,44.6,9.45,7.5,1.09
AD-23019,2.2,0.68,0.8,0.10
AD-23020,52.7,6.45,29.7,1.17
AD-23021,95.4,16.16,45.0,3.00
AD-23022,70.1,3.01,60.8,12.11
AD-23023,2.7,1.12,1.8,0.07
AD-23024,1.7,0.30,1.8,0.33
AD-23025,64.2,13.21,10.5,1.34
AD-23026,1.9,0.15,1.9,0.78
AD-23027,2.5,0.21,1.6,0.49
AD-23028,6.7,4.41,1.2,0.50
AD-18330,6.0,0.56,5.7,1.15
AD-23029,4.5,0.47,1.6,0.10
AD-23030,3.9,0.25,3.3,0.84
AD-23031,3.4,0.78,1.7,0.02
