duplex,sense_oligo,antisense_oligo
AD-18243,A-32153,A-32154
AD-18244,A-32155,A-32156
AD-18245,A-32157,A-32158
AD-18246,A-32159,A-32160
AD-18247,A-32163,A-32164
AD-18248,A-32165,A-32166
AD-18249,A-32167,A-32168
AD-18250,A-32169,A-32170
AD-18251,A-32171,A-32172
AD-18252,A-32175,A-32176
AD-18253,A-32177,A-32178
AD-18254,A-32179,A-32180
AD-18255,A-32181,A-32182
AD-18256,A-32183,A-32184
AD-18257,A-32187,A-32188
AD-18258,A-32189,A-32190
AD-18259,A-32191,A-32192
AD-18260,A-32193,A-32194
AD-18261,A-32195,A-32196
AD-18262,A-32199,A-32200
AD-18263,A-32201,A-32202
AD-18264,A-32203,A-32204
AD-18265,A-32205,A-32206
AD-18266,A-32207,A-32208
AD-18267,A-32211,A-32212
AD-18268,A-32213,A-32214
AD-18269,A-32215,A-32216
AD-18270,A-32217,A-32218
AD-18271,A-32219,A-32220
AD-18272,A-32221,A-32222
AD-18273,A-32223,A-32224
AD-18274,A-32225,A-32226
AD-18275,A-32227,A-32228
AD-18276,A-32229,A-32230
AD-18277,A-32231,A-32232
AD-18278,A-32233,A-32234
AD-18279,A-32235,A-32236
AD-18280,A-32237,A-32238
AD-18281,A-32239,A-32240
AD-18282,A-32241,A-32242
AD-18283,A-32243,A-32244
AD-18284,A-32247,A-32248
AD-18285,A-32249,A-32250
AD-18286,A-32251,A-32252
AD-18287,A-32253,A-32254
AD-18288,A-32255,A-32256
AD-18289,A-32259,A-32260
AD-18290,A-32261,A-32262
AD-18291,A-32263,A-32264
AD-18292,A-32265,A-32266
AD-18293,A-32267,A-32268
AD-18294,A-32269,A-32270
AD-18295,A-32271,A-32272
AD-18296,A-32273,A-32274
AD-18297,A-32275,A-32276
AD-18298,A-32277,A-32278
AD-18299,A-32279,A-32280
AD-18300,A-32281,A-32282
AD-18301,A-32283,A-32284
AD-18302,A-32285,A-32286
AD-18303,A-32287,A-32288
AD-18304,A-32289,A-32290
AD-18305,A-32291,A-32292
AD-18306,A-32295,A-32296
AD-18307,A-32297,A-32298
AD-18308,A-32299,A-32300
AD-18309,A-32301,A-32302
AD-18310,A-32303,A-32304
AD-18311,A-32307,A-32308
AD-18312,A-32309,A-32310
AD-18313,A-32311,A-32312
AD-18314,A-32313,A-32314
AD-18315,A-32315,A-32316
AD-18316,A-32319,A-32320
AD-18317,A-32321,A-32322
AD-18318,A-32323,A-32324
AD-18319,A-32325,A-32326
AD-18320,A-32327,A-32328
AD-18321,A-32331,A-32332
AD-18322,A-32333,A-32334
AD-18323,A-32335,A-32336
AD-18324,A-32337,A-32338
AD-18325,A-32339,A-32340
AD-18326,A-32341,A-32342
AD-18327,A-32343,A-32344
AD-18328,A-32345,A-32346
AD-18329,A-32347,A-32348
AD-18330,A-32349,A-32350
AD-18331,A-32351,A-32352
AD-18332,A-32353,A-32354
AD-18333,A-32355,A-32356
AD-18334,A-32357,A-32358
AD-18335,A-32359,A-32360
AD-18336,A-32363,A-32364
AD-18337,A-32367,A-32368
AD-18338,A-32369,A-32370
AD-18339,A-32371,A-32372
AD-18340,A-32373,A-32374
AD-18341,A-32375,A-32376
AD-18342,A-32379,A-32380
AD-18343,A-32381,A-32382
AD-18344,A-32383,A-32384
AD-18345,A-32385,A-32386
AD-18346,A-32387,A-32388
AD-18347,A-32391,A-32392
AD-18348,A-32393,A-32394
AD-18349,A-32395,A-32396
AD-18350,A-32397,A-32398
AD-18351,A-32399,A-32400
AD-18352,A-32401,A-32402
AD-18353,A-32403,A-32404
AD-18354,A-32405,A-32406
AD-18355,A-32407,A-32408
AD-18356,A-32409,A-32410
AD-18357,A-32411,A-32412
AD-18358,A-32415,A-32416
AD-18359,A-32417,A-32418
AD-18360,A-32419,A-32420
AD-18361,A-32421,A-32422
AD-18362,A-32423,A-32424
AD-18363,A-32427,A-32428
AD-18364,A-32429,A-32430
AD-18446,A-32161,A-32162
AD-18447,A-32173,A-32174
AD-18448,A-32185,A-32186
AD-18449,A-32197,A-32198
AD-18450,A-32209,A-32210
AD-18451,A-32245,A-32246
AD-18452,A-32257,A-32258
AD-18453,A-32293,A-32294
AD-18454,A-32305,A-32306
AD-18455,A-32317,A-32318
AD-18456,A-32329,A-32330
AD-18457,A-32361,A-32362
AD-18458,A-32365,A-32366
AD-18459,A-32377,A-32378
AD-18460,A-32389,A-32390
AD-18461,A-32401,A-32402
AD-18462,A-32413,A-32414
AD-18463,A-32425,A-32426
