duplex,singledose_hepg2_qpcr,singledose_hepg2_bdna,ic50_hepg2_qpcr_nM,ic50_hepg2_bdna_nM,ic50_hep3b_qpcr_nM,ic50_hep3b_bdna_nM
AD-18243,50.35,141.53,ND,ND,ND,ND
AD-18244,64.26,158.55,ND,ND,ND,ND
AD-18245,56.89,107.22,ND,ND,ND,ND
AD-18246,10.53,32.51,0.265,0.086,ND,ND
AD-18247,125.56,69.57,ND,ND,ND,ND
AD-18248,127.78,66.97,ND,ND,ND,ND
AD-18249,48.77,48.76,ND,ND,ND,ND
AD-18250,96.94,86.42,ND,ND,ND,ND
AD-18251,170.41,129.15,ND,ND,ND,ND
AD-18252,73.52,81.90,ND,ND,ND,ND
AD-18253,25.25,61.25,ND,ND,ND,ND
AD-18254,95.13,103.96,ND,ND,ND,ND
AD-18255,119.46,ND,ND,ND,ND,ND
AD-18256,42.64,95.67,ND,ND,ND,ND
AD-18257,146.25,141.75,ND,ND,ND,ND
AD-18258,10.20,13.41,0.007,0.005,0.004,0.005
AD-18259,9.30,20.91,0.102,0.005,ND,ND
AD-18260,125.37,81.36,ND,ND,ND,ND
AD-18261,14.27,19.40,0.210,ND,ND,ND
AD-18262,84.95,104.05,ND,ND,ND,ND
AD-18263,16.32,23.25,0.110,ND,ND,ND
AD-18264,104.18,83.69,ND,ND,ND,ND
AD-18265,41.62,64.87,ND,ND,ND,ND
AD-18266,39.98,110.53,ND,ND,ND,ND
AD-18267,149.64,ND,ND,ND,ND,ND
AD-18268,152.93,174.04,ND,ND,ND,ND
AD-18269,37.27,92.28,ND,ND,ND,ND
AD-18270,99.44,164.75,ND,ND,ND,ND
AD-18271,18.89,28.33,0.503,0.004,ND,ND
AD-18272,128.32,132.58,ND,ND,ND,ND
AD-18273,115.78,201.95,ND,ND,ND,ND
AD-18274,8.97,20.04,0.009,0.176,0.036,0.012
AD-18275,4.09,22.25,0.026,0.118,ND,ND
AD-18276,19.73,45.22,0.198,0.677,ND,ND
AD-18277,10.55,26.31,0.121,0.426,ND,ND
AD-18278,108.86,116.26,ND,ND,ND,ND
AD-18279,66.59,ND,ND,ND,ND,ND
AD-18280,103.26,170.52,ND,ND,ND,ND
AD-18281,87.98,123.88,ND,ND,ND,ND
AD-18282,82.47,140.32,ND,ND,ND,ND
AD-18283,106.54,182.78,ND,ND,ND,ND
AD-18284,106.93,151.78,ND,ND,ND,ND
AD-18285,26.58,60.05,ND,0.089,ND,ND
AD-18286,109.95,173.66,ND,ND,ND,ND
AD-18287,54.23,155.45,ND,ND,ND,ND
AD-18288,73.52,174.09,ND,ND,ND,ND
AD-18289,103.36,174.76,ND,ND,ND,ND
AD-18290,17.06,52.04,1.253,0.181,ND,ND
AD-18291,7.71,169.29,1.304,0.019,ND,ND
AD-18292,7.51,210.03,0.604,0.005,ND,ND
AD-18293,3.61,62.53,0.078,0.003,ND,ND
AD-18294,111.53,107.56,ND,ND,ND,ND
AD-18295,115.88,105.37,ND,ND,ND,ND
AD-18296,57.03,38.03,ND,ND,ND,ND
AD-18297,87.69,73.87,ND,ND,ND,ND
AD-18298,10.39,7.25,0.455,0.008,ND,ND
AD-18299,18.79,18.06,0.895,0.014,ND,ND
AD-18300,108.70,ND,ND,ND,ND,ND
AD-18301,114.22,70.50,ND,ND,ND,ND
AD-18302,116.19,122.40,ND,ND,ND,ND
AD-18303,124.89,ND,ND,ND,ND,ND
AD-18304,132.99,89.54,ND,ND,ND,ND
AD-18305,153.10,ND,ND,ND,ND,ND
AD-18306,159.22,ND,ND,ND,ND,ND
AD-18307,116.83,84.57,ND,ND,ND,ND
AD-18308,156.72,87.80,ND,ND,ND,ND
AD-18309,113.22,101.97,ND,ND,ND,ND
AD-18310,132.33,ND,ND,ND,ND,ND
AD-18311,161.68,92.92,ND,ND,ND,ND
AD-18312,103.01,71.17,ND,ND,ND,ND
