duplex,cell_type,assay,conc_10nM,conc_1nM,conc_0.5nM,conc_0.1nM,conc_0.05nM,conc_0.01nM,conc_0.005nM,conc_0.001nM,conc_0.0005nM,conc_0.0001nM,conc_0.00005nM,conc_0.00001nM,ic50_nM
AD-18258,HepG2,qPCR,14.4,14.1,16.2,23.9,27.26,40.19,68.46,78.1,74.48,104.37,98.28,113.68,0.007
AD-18258,HepG2,bDNA,14.3,14.5,11.1,12.8,18.82,19.77,51.21,56.03,63.63,58.35,43.64,51.05,0.005
AD-18258,Hep3B,qPCR,11.9,8.62,12.4,16.4,28.35,30.49,58.36,54.57,81.26,89.43,81.85,101.87,0.004
AD-18258,Hep3B,bDNA,7.65,7.5,11.3,12.6,28.85,27.89,64.57,73.48,72.03,91.44,86.71,89.31,0.005
AD-18274,HepG2,qPCR,6.68,8.45,11.7,24.2,42.08,49.89,56.95,62.99,64.47,54.92,67.39,72.67,0.009
AD-18274,HepG2,bDNA,27.5,69,25.2,34.2,73.03,103.4,121.57,97.31,154.93,156.7,Nd,152.25,0.176
AD-18274,Hep3B,qPCR,7.58,17,15.6,43.9,42.22,60.55,78.8,77.81,79.97,85.84,86.13,83.99,0.036
AD-18274,Hep3B,bDNA,3.77,4.92,7.51,15,35.21,51.66,72.45,70.12,78.31,77.52,90.72,83.01,0.012
AD-18324,HepG2,qPCR,2.07,2.27,2.74,6.36,8.18,15.23,28.82,52.79,90.86,94.72,116.07,98.97,0.002
AD-18324,HepG2,bDNA,14.5,7.88,11.8,15.9,17.2,46.44,40.4,91.86,0,95.57,0,52.15,0.006
AD-18324,Hep3B,qPCR,2.07,3.48,5.76,16.2,18.73,44.54,49.77,68.88,63.48,76.61,74.7,77.83,0.005
AD-18324,Hep3B,bDNA,3.48,3.8,5.15,15.2,30.84,55.36,74.75,99.39,88.89,110.83,96.55,110.26,0.014
AD-18328,HepG2,qPCR,5.85,3.97,3.32,5.62,8,16.75,55.01,39.76,122.41,102.37,114.02,124.09,0.003
AD-18328,HepG2,bDNA,12.3,10.7,10.7,11.9,20.06,25,69.52,57.29,112.28,98.14,142.26,148.92,0.004
AD-18328,Hep3B,qPCR,3.17,5.52,11.7,13.8,27.68,39.58,61.21,61.87,90.51,87.56,106.03,108.72,0.006
AD-18328,Hep3B,bDNA,3.08,3.66,4.19,7.25,21.05,22.1,73.74,63.19,105.55,96.27,105.97,96.46,0.006
AD-18339,HepG2,qPCR,6.27,7.28,Nd,11,15.25,38.69,38.78,71.7,84.09,62.2,75.61,85.46,0.004
AD-18339,HepG2,bDNA,15.1,8.14,5.13,6.89,12.17,32.14,42.98,64.01,60.76,79.95,81.97,95.43,0.002
AD-18339,Hep3B,qPCR,8.3,9.47,13.2,34.5,44.54,77.38,81.04,81.41,93.95,81.04,75.61,78.28,0.018
AD-18339,Hep3B,bDNA,10.5,9.43,11.7,27.1,44.88,72.32,79.88,79.6,87.46,96.53,95.13,89.88,0.029
