num,sirna_id,target,paper_ic50_nM,paper_tm_degC,card1_naked_pct,card2_base_pct,card3_efficacy_pct,primary_delta,primary_direction,naked_delta
1,siSER-1,SERPINA1,4.4 -> >100,75.5 -> 86.7,32.96%,24.44%,6.22%,-18.22%,MATCH,-26.74%
2,siSER-2,SERPINA1,0.11 -> 27.2,68.5 -> 78.5,35.44%,23.56%,14.45%,-9.11%,MATCH,-20.99%
3,siSER-3,SERPINA1,0.33 -> >100,74.0 -> 86.1,34.17%,30.03%,14.11%,-15.92%,MATCH,-20.06%
4,siSER-4,SERPINA1,0.032 -> 0.027,59.5 -> 69.7,36.34%,26.61%,32.94%,+6.33%,MATCH,-3.40%
5,siSER-5,SERPINA1,0.2 -> 0.23,56.0 -> 66.3,53.10%,26.54%,30.65%,+4.11%,MATCH,-22.45%
6,siSER-6,SERPINA1,2.74 -> >100,76.0 -> 87.7,34.40%,27.13%,9.72%,-17.41%,MATCH,-24.68%
7,siSER-7,SERPINA1,0.56 -> >100,65.1 -> 78.1,41.54%,25.63%,25.96%,+0.33%,MATCH,-15.58%
8,siSER-8,SERPINA1,1.3 -> 0.15,67.1 -> 77.6,37.84%,29.74%,26.03%,-3.71%,MATCH,-11.81%
9,siSER-9,SERPINA1,0.16 -> >100,63.2 -> 73.7,28.51%,24.73%,24.10%,-0.63%,MATCH,-4.41%
10,siSER-10,SERPINA1,0.001 -> 0.004,61.3 -> 71.3,39.56%,29.21%,28.17%,-1.04%,MATCH,-11.39%
11,siSER-11,SERPINA1,0.0007 -> 0.0001,46.3 -> 56.1,41.50%,28.73%,33.06%,+4.33%,MATCH,-8.44%
12,siAGT-1,AGT,0.04 -> >100,72.9 -> 84.5,37.04%,27.45%,11.81%,-15.64%,MATCH,-25.23%
13,siAGT-2,AGT,0.13 -> 4.9,64.0 -> 74.1,50.20%,26.82%,24.10%,-2.72%,MATCH,-26.10%
14,siAGT-3,AGT,0.0004 -> 0.022,39.0 -> 47.2,52.22%,40.32%,53.79%,+13.47%,MATCH,+1.57%
15,siAGT-4,AGT,0.01 -> 0.21,73.5 -> 83.8,40.16%,25.98%,18.94%,-7.04%,MATCH,-21.22%
