duplex,mm_location,huh7_pct_amplicon1,huh7_sd_amplicon1,huh7_pct_amplicon2,huh7_sd_amplicon2,aml12_pct_amplicon1,aml12_sd_amplicon1,aml12_pct_amplicon2,aml12_sd_amplicon2
TTR-27,79,94.1,17.1,102.3,3.2,30.5,11.8,34.1,1.5
TTR-28,80,126.7,5,97.7,5.1,58.6,6.7,65.7,6.4
TTR-29,81,131.6,3.8,104,5.1,46.1,4.4,55.1,4.2
TTR-30,82,111.6,0.9,87,2.2,100.8,5.7,109.9,8.4
TTR-31,83,106.8,10.4,89.3,3.5,68.3,5.4,68.5,5.5
TTR-32,84,112.6,6.1,75.9,5.2,70.1,8.3,66.4,6.4
TTR-33,85,121.4,5.1,87.3,4.9,102.8,6.8,102.8,10.1
TTR-34,86,117.7,7.2,86.3,1.8,82.9,4,75.4,3.2
TTR-35,87,84.5,8.9,100,4.3,85.8,3.3,89.4,5.8
TTR-36,88,121.6,14.8,98,4.3,108.3,3.6,110.9,6.9
TTR-37,89,102.4,2,80.9,2.4,107.3,5.3,114.1,2
TTR-38,90,102.7,9.6,77.5,4.1,103.6,4.4,112.8,4.2
TTR-39,91,103.3,2.8,77.9,5.2,98,4.4,86.6,5.9
TTR-40,92,113.8,11.6,75.3,4,106.4,2,106.7,6.3
TTR-41,93,91.6,14.4,67.3,7,104.5,1.9,104.5,6.5
TTR-43,110,110.1,2.3,,,,,,
TTR-44,98,101.8,1.1,,,,,,
TTR-46,103,97.1,1.5,,,,,,
TTR-47,92,98.4,5.3,,,,,,
TTR-59,95,98.3,6,,,,,,
TTR-84,58,100.3,9.1,,,,,,
TTR-88,33,104.5,4,,,,,,
TTR-89,48,96.5,5.8,,,,,,
TTR-90,44,106.9,5.3,,,,,,
TTR-92,66,103.6,2.8,,,,,,
TTR-126,38,106.1,4.1,,,,,,
TTR-127,29,96.9,3,,,,,,
TTR-128,8,89.2,5.4,,,,,,
TTR-129,7,50.6,10.2,,,,,,
TTR-130,4,45,5.2,,,,,,
TTR-131,6,30.9,9.9,,,,,,
TTR-132,10,21,9,,,,,,
TTR-134,32,32.8,5.8,,,,,,
TTR-135,30,38.6,9.8,,,,,,
TTR-150,70,7.2,35.1,10.4,4.7,108.9,3.9,106.8,10
TTR-151,71,34.6,13.9,27,8.3,109.8,2,106.1,8.6
TTR-152,72,0.9,57.3,3.5,5.4,109.3,7.3,136.7,3.7
TTR-153,73,0.8,65.4,3.9,7.8,132.7,7.5,119.1,4.2
TTR-154,74,7,2.2,7.3,5.5,114.8,3.3,116.7,3.9
TTR-155,75,2.1,53.9,3.7,3.9,106.1,2.5,111.2,1.6
TTR-156,76,3.1,19.7,3.3,5.3,105.2,8,97.6,11.3
TTR-157,77,1.7,62,5.3,5.1,,,,
TTR-158,78,1.5,73.7,3,7.8,,,,
TTR-159,79,1.5,58.5,3.9,11.5,,,,
TTR-160,80,2.2,20.1,4.3,7.9,,,,
TTR-161,81,1.6,50.6,5.3,7,,,,
TTR-162,82,5.9,48.7,14.2,5.2,,,,
TTR-163,83,55.4,11,63.5,8.4,,,,
TTR-164,84,0.8,52.1,7.3,5,,,,
TTR-165,85,9.3,28,20.3,3.6,,,,
TTR-186,15,15.4,8.3,,,,,,
TTR-187,8,9.6,11.5,,,,,,
TTR-234,8,5.3,1.4,,,,,,
TTR-238,158,4.3,50.7,2.8,9.7,,,,
TTR-239,159,2.8,100,6.5,11.9,,,,
TTR-240,160,0.7,100,3.1,2.1,,,,
TTR-241,161,15.8,29.3,8.1,10.3,,,,
TTR-242,162,1.9,100,1.4,5,,,,
TTR-243,163,9,38.9,7.1,6.8,,,,
TTR-244,164,3.6,100,2.2,4.8,,,,
TTR-245,165,0.3,100,1.7,7.6,,,,
TTR-246,166,2,72.4,4.7,6.4,,,,
TTR-247,167,21.9,10.8,9.8,5.7,,,,
TTR-248,301,4.7,7.3,3.6,5.8,118.7,2.1,107.2,3.7
TTR-249,302,2.3,19.4,2.9,13.3,107,6.2,123.9,20.3
TTR-250,170,7.3,41.1,3.4,6.5,,,,
TTR-251,171,16.3,21.5,15.4,5.4,,,,
TTR-252,172,2.6,2.5,,,,,,
TTR-253,173,17.2,35.1,11.6,8.2,,,,
TTR-254,174,3.6,55.1,7.5,5.7,,,,
TTR-255,175,1.5,42.2,2.5,10.3,,,,
TTR-256,176,7.7,51.3,9.1,7,,,,
TTR-257,177,0.6,100,2.2,3.1,,,,
TTR-258,178,2.8,79.2,4.5,20.1,,,,
TTR-346,266,4.3,31,6.7,2.1,,,,
TTR-347,267,7.3,23,6.5,6.5,,,,
TTR-348,268,80.5,5.9,68.6,5.5,,,,
TTR-349,269,33.1,7.6,25.4,4.9,,,,
TTR-350,270,30,4.3,34,1.8,,,,
TTR-351,271,85.6,12.9,84.6,5.9,,,,
TTR-352,272,23.4,14.3,21.3,3.2,,,,
TTR-353,273,79.8,6.7,82.2,10.4,,,,
TTR-354,274,15.7,20.4,9.9,4.7,,,,
TTR-355,275,4.4,70,8.4,4.7,,,,
TTR-356,276,13,17.9,7.9,2.6,,,,
TTR-357,277,3.9,44.2,3.8,3.4,,,,
TTR-358,278,4.8,29.8,8.1,5.7,,,,
TTR-359,279,47.2,4.7,48.5,5.6,,,,
TTR-360,280,11.4,10.4,8.3,1,,,,
TTR-361,281,20,5.7,20.2,4.8,,,,
TTR-381,301,19,15.8,27.8,5.5,,,,
TTR-382,302,68,13.7,55.1,2.5,,,,
TTR-383,303,3.4,67.8,4.4,2.9,,,,
TTR-384,304,24.8,25.1,14.8,2.5,,,,
TTR-385,305,31.6,5.2,25.8,3.7,,,,
TTR-386,306,63.7,6.9,57.8,4.5,,,,
TTR-387,307,36.8,4.1,26.6,15.4,,,,
TTR-388,308,62,7.1,55.1,7,,,,
TTR-389,309,60,8.8,54.5,7.2,,,,
TTR-390,310,17.8,45.5,10.9,23.6,,,,
TTR-391,311,36.4,5.3,29.5,7.3,,,,
TTR-392,312,30,20.7,18.7,16.7,,,,
TTR-393,313,28.7,6.6,22.6,5.7,,,,
TTR-394,314,21.7,3.1,18,3.3,,,,
TTR-395,315,49.3,7.5,45.4,7.5,,,,
TTR-396,316,11.8,24.9,12.5,5.3,,,,
TTR-398,35,30.7,6.2,,,,,,
TTR-399,16,11.6,12.3,,,,,,
TTR-400,83,71.8,8.7,,,,,,
TTR-401,52,43.9,20.8,,,,,,
TTR-402,30,29.5,27.5,,,,,,
TTR-403,34,27.7,28.9,,,,,,
TTR-404,31,33.8,19.2,,,,,,
TTR-405,5,6.2,5.6,,,,,,
TTR-406,7,9.6,6.4,,,,,,
TTR-407,13,17,10.1,,,,,,
TTR-408,38,35.1,12.9,,,,,,
TTR-409,21,16.9,9.7,,,,,,
TTR-410,31,33.2,7.1,,,,,,
TTR-411,61,46.8,6.6,,,,,,
TTR-412,42,32.9,19.8,,,,,,
TTR-413,36,26.1,3.4,,,,,,
TTR-414,35,37,3.1,,,,,,
TTR-415,52,43.8,46.3,,,,,,
TTR-416,33,28.8,11.9,,,,,,
TTR-417,73,65,2.6,,,,,,
TTR-418,16,16.6,3.9,,,,,,
TTR-419,90,73.7,3.7,,,,,,
TTR-420,44,37,7.4,,,,,,
TTR-421,46,40,5.3,,,,,,
TTR-422,2,3.4,13.1,,,,,,
TTR-423,4,3.5,7.5,,,,,,
TTR-424,4,5.6,10.3,,,,,,
TTR-425,27,36.3,21.7,,,,,,
TTR-426,17,29.2,19.6,,,,,,
TTR-427,11,15.5,18,,,,,,
TTR-428,6,6.7,8.8,,,,,,
TTR-429,8,6,2.6,,,,,,
TTR-430,4,13.4,2,,,,,,
TTR-431,30,46.1,2.3,,,,,,
TTR-432,3,5.1,2.2,,,,,,
TTR-433,7,5,0.8,,,,,,
TTR-434,1,2.8,2.5,,,,,,
TTR-435,7,3.4,5.9,,,,,,
TTR-436,3,5.5,7.7,,,,,,
TTR-437,34,30.9,2.8,,,,,,
TTR-439,2,4.7,12.5,,,,,,
TTR-440,9,6.6,5.2,,,,,,
TTR-462,382,46.2,9,42.4,9.4,,,,
TTR-463,383,89.4,5,70.6,3.5,,,,
TTR-464,384,14.9,14.3,11.3,10.4,,,,
TTR-465,385,27.1,12.9,20,3.6,,,,
TTR-466,386,17.5,17.5,14.3,7.9,,,,
TTR-467,387,80.8,3.9,75.9,1.2,,,,
TTR-468,388,83.8,7.1,69.6,4.9,,,,
TTR-469,389,95.7,1.6,92.1,2.6,,,,
TTR-470,390,27,14.4,24.7,8.4,,,,
TTR-471,391,32.7,11.3,26.3,5.1,,,,
TTR-472,392,73.9,3.3,63,2.5,,,,
